pid,n,EXP,IMP,NONE,surf,topic,v,a,word,pre_v,post_v
P06,14,11,1,2,85.71428571428571,금요일 강릉 방문 예정과 야근 문제 고민,2.0,7.0,불안함,4.0,2.0
P03,12,4,6,2,83.33333333333334,고민 상담,7.0,3.0,편안함,6.0,8.0
P04,28,6,14,8,71.42857142857143,점심 뭐 먹을지 ,5.0,6.0,무감정,2.0,2.0
P14,9,3,3,3,66.66666666666666,퇴사,1.0,3.0,안좋음,5.0,7.0
P22,49,6,19,24,51.02040816326531,대인관계,3.0,8.0,"분노, 짜증",6.0,7.0
P11,12,2,4,6,50.0,다이어트 방법,5.0,5.0,무감정,5.0,5.0
P05,17,3,5,9,47.05882352941176,단순 자유 대화,5.0,5.0,무감정,5.0,5.0
P16,5,1,1,3,40.0,민달팽이,6.0,6.0,뿌듯,5.0,5.0
P09,17,3,3,11,35.294117647058826,다음 주 수요일에 개봉하는 스파이더맨 영화 이야기,8.0,6.0,기대감,6.0,7.0
P07,16,2,3,11,31.25,수면 관리,8.0,4.0,만족감,5.0,8.0
P18,10,0,2,8,20.0,공문,5.0,3.0,귀찮음,5.0,5.0
P02,22,0,4,18,18.181818181818183,미래 연구 분야 결정 및 대학원 컨택,2.0,2.0,막막함,5.0,6.0
P10,15,0,2,13,13.333333333333334,사는 곳 근처의 애견 동반 카페 검색,6.0,6.0,만족감,5.0,7.0
P15,11,1,0,10,9.090909090909092,점심 식사 준비,5.0,6.0,기쁨!,9.0,9.0
P19,32,2,0,30,6.25,"2학기 복학 전, 한 달 동안의 스케줄 및 공부 계획",2.0,6.0,답답하고 막막함,5.0,3.0
P08,20,0,0,20,0.0,과제 수행에서의 문제 해결과 보완점 개선,5.0,4.0,막막함,4.0,6.0
P13,28,0,0,28,0.0,중앙은행의 기준금리 결정,7.0,7.0,시원함,5.0,5.0
P17,1,0,0,1,0.0,기계 설명,7.0,7.0,좋음,7.0,7.0
