pid,n,EXP,IMP,NONE,surf,pre_V,post_V,topic_V,pre_A,post_A,topic_A,topic_dist
P02,22,0,4,18,18.181818181818183,5.0,6.0,2.0,3.0,5.0,2.0,4.242640687119285
P03,12,4,6,2,83.33333333333334,6.0,8.0,6.0,4.0,2.0,3.0,2.23606797749979
P04,28,6,14,8,71.42857142857143,2.0,2.0,5.0,6.0,7.0,6.0,1.0
P05,17,3,5,9,47.05882352941176,5.0,5.0,5.0,5.0,5.0,5.0,0.0
P06,14,11,1,2,85.71428571428571,4.0,2.0,2.0,6.0,6.0,7.0,3.605551275463989
P07,16,2,3,11,31.25,5.0,8.0,8.0,2.0,3.0,4.0,3.1622776601683795
P08,20,0,0,20,0.0,4.0,6.0,5.0,5.0,6.0,4.0,1.0
P09,17,3,3,11,35.294117647058826,6.0,7.0,4.0,4.0,5.0,6.0,1.4142135623730951
P10,15,0,2,13,13.333333333333334,5.0,7.0,6.0,5.0,6.0,7.0,2.23606797749979
P11,12,2,4,6,50.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0
P13,28,0,0,28,0.0,5.0,5.0,7.0,2.0,,7.0,2.8284271247461903
P14,9,3,3,3,66.66666666666666,5.0,7.0,1.0,8.0,,3.0,4.47213595499958
P15,11,1,0,10,9.090909090909092,9.0,9.0,5.0,5.0,9.0,6.0,1.0
P16,5,1,1,3,40.0,5.0,5.0,6.0,5.0,5.0,6.0,1.4142135623730951
P17,1,0,0,1,0.0,7.0,7.0,7.0,7.0,7.0,7.0,2.8284271247461903
P18,10,0,2,8,20.0,5.0,5.0,5.0,2.0,5.0,3.0,2.0
P19,32,2,0,30,6.25,5.0,3.0,2.0,5.0,4.0,6.0,3.1622776601683795
P22,49,6,19,24,51.02040816326531,6.0,7.0,3.0,3.0,5.0,8.0,3.605551275463989
