참가자,전 V,전 A,주제1 V,주제1 A,주제2 V,주제2 A,후 V,후 A,후−전 V,후−전 A
P01,5.0,5.0,3.0,6.0,,,4.0,5.0,-1.0,0.0
P02,5.0,3.0,2.0,2.0,,,6.0,5.0,1.0,2.0
P03,6.0,4.0,7.0,3.0,6.0,3.0,8.0,2.0,2.0,-2.0
P04,2.0,6.0,5.0,6.0,7.0,2.0,2.0,7.0,0.0,1.0
P05,5.0,5.0,5.0,5.0,,,5.0,5.0,0.0,0.0
P06,4.0,6.0,2.0,7.0,,,2.0,6.0,-2.0,0.0
P07,5.0,2.0,8.0,4.0,,,8.0,3.0,3.0,1.0
P08,4.0,5.0,5.0,4.0,,,6.0,6.0,2.0,1.0
P09,6.0,4.0,8.0,6.0,4.0,3.0,7.0,5.0,1.0,1.0
P10,5.0,5.0,6.0,6.0,7.0,7.0,7.0,6.0,2.0,1.0
P11,5.0,5.0,5.0,5.0,,,5.0,5.0,0.0,0.0
P12,4.0,2.0,7.0,4.0,,,8.0,,4.0,
P13,5.0,2.0,7.0,7.0,,,5.0,,0.0,
P14,5.0,8.0,1.0,3.0,,,7.0,,2.0,
P15,9.0,5.0,5.0,6.0,,,9.0,9.0,0.0,4.0
P16,5.0,5.0,6.0,6.0,,,5.0,5.0,0.0,0.0
P17,7.0,7.0,7.0,7.0,,,7.0,7.0,0.0,0.0
P18,5.0,2.0,5.0,3.0,,,5.0,5.0,0.0,3.0
P19,5.0,5.0,2.0,6.0,,,3.0,4.0,-2.0,-1.0
P20,8.0,6.0,7.0,6.0,,,8.0,5.0,0.0,-1.0
P21,7.0,3.0,9.0,8.0,,,7.0,8.0,0.0,5.0
P22,6.0,3.0,3.0,8.0,,,7.0,5.0,1.0,2.0
