구분,보기,응답자수,비율%
평소_대화주제,정보 검색·질문,18,81.8
평소_대화주제,학업·업무 도움,17,77.3
평소_대화주제,글쓰기 도움,10,45.5
평소_대화주제,고민 상담,7,31.8
평소_대화주제,코딩·기술,6,27.3
평소_대화주제,일상 잡담,5,22.7
평소_대화주제,창작·놀이,2,9.1
평소_대화주제_기타,논문 해석,1,4.5
평소_대화주제_기타,토익 공부 문법 문제 물어보기,1,4.5
평소_대화주제_기타,고민 거리,1,4.5
평소_대화주제_기타,추천 목록 작성,1,4.5
평소_대화주제_기타,정보,1,4.5
평소_대화주제_기타,검색 질문,1,4.5
평소_대화주제_기타,자기소개서 작성 도움,1,4.5
평소_대화주제_기타,자격증 시험 문제 풀이,1,4.5
평소_대화주제_기타,논문 한국어 번역,1,4.5
평소_대화주제_기타,맛집이나 카페 또는 모르는 기계 사용법 질문,1,4.5
평소_대화주제_기타,아이디어 얻기,1,4.5
평소_감정상태,답답함·스트레스 해소 목적,10,45.5
평소_감정상태,호기심,10,45.5
평소_감정상태,특별한 감정 없음,8,36.4
평소_감정상태,차분함,6,27.3
평소_감정상태,외로움·심심함,4,18.2
평소_감정상태,불안·걱정이 있을 때,4,18.2
평소_감정상태,즐거움·재미,4,18.2
이번_대화주제_분류,일상·잡담,13,46.4
이번_대화주제_분류,고민·정서,10,35.7
이번_대화주제_분류,학업·업무,4,14.3
이번_대화주제_분류,정보 검색,1,3.6
